wv,intens
4990.814172,15428.71875
4990.825242,15896.87402
4990.836312,15938.38672
4990.847381,15555.4834
4990.858449,16077.75098
4990.869516,16027.04004
4990.880583,16236.94141
4990.89165,16226.19727
4990.902716,16582.23633
4990.913781,16214.08008
4990.924845,16654.38867
4990.935909,16470.63867
4990.946973,16476.35352
4990.958035,16504.32227
4990.969097,16648.21094
4990.980159,16544.46094
4990.99122,16550.38086
4991.00228,16716.49805
4991.01334,16773.65234
4991.024399,16687.4082
4991.035457,16869.20117
4991.046515,16979.7207
4991.057572,16935.26953
4991.068629,17129.59961
4991.079685,16880.03516
4991.09074,17217.91211
4991.101795,17185.83984
4991.112849,17325.77344
4991.123902,17258.5625
4991.134955,17306.54688
4991.146007,17221.29688
4991.157059,17008.4375
4991.16811,17043.93164
4991.179161,16675.70703
4991.190211,16804.36328
4991.20126,16560.97656
4991.212308,16033.87207
4991.223357,15304.1748
4991.234404,14794.13867
4991.245451,13921.36133
4991.256497,12932.80566
4991.267543,12314.91895
4991.278587,11855.24609
4991.289632,11480.45508
4991.300676,11948.27148
4991.311719,12456.25977
4991.322761,12964.71973
4991.333803,13963.2207
4991.344844,14797.56934
4991.355885,15097.49512
4991.366925,15833.56641
4991.377965,16103.13867
4991.389004,16657.24805
4991.400042,16683.00195
4991.41108,17070.27539
4991.422117,17218.73828
4991.433153,17320.44531
4991.444189,17391.53516
4991.455224,17456.46484
4991.466259,17757.66211
4991.477293,17509.86719
4991.488326,17624.94141
4991.499359,17957.31641
4991.510391,18211.88281
4991.521422,17740.62695
4991.532453,17991.84375
4991.543484,18231.89453
4991.554513,18053.38477
4991.565543,18112.91992
4991.576571,18026.88867
4991.587599,18095.92383
4991.598626,18200.37109
4991.609653,18219.04883
4991.620679,17975
4991.631704,18009.10742
4991.642729,17949.50391
4991.653753,18088.83008
4991.664777,18060.0957
4991.6758,17876.30078
4991.686822,18034.96484
4991.697844,18240.4375
4991.708865,18017.49023
4991.719886,18304.1875
4991.730906,17662.07813
4991.741925,17888.54102
4991.752944,17845.08398
4991.763962,17414.03516
4991.77498,17439.45508
4991.785997,16903.52148
4991.797013,16188.56543
4991.808029,15414.21777
4991.819044,14416.82715
4991.830058,13085.99609
4991.841072,11502.65332
4991.852085,9818.192383
4991.863098,8031.98291
4991.87411,6528.279785
4991.885122,5500.329102
4991.896132,4799.09668
4991.907143,4242.049316
4991.918152,4251.381836
4991.929161,4712.57666
4991.94017,5755.782715
4991.951177,6727.4375
4991.962185,8603.995117
4991.973191,9853.581055
4991.984197,11095.2207
4991.995202,12478.79199
4992.006207,12874.18652
4992.017211,13278.94531
4992.028215,13071.96484
4992.039218,12507.50977
4992.05022,11509.41992
4992.061222,10218.58887
4992.072223,9443.580078
4992.083223,8112.748535
4992.094223,7202.609863
4992.105223,6809.163574
4992.116221,6634.972168
4992.127219,6985.874512
4992.138217,8150.458984
4992.149214,9128.507813
4992.16021,10710.47168
4992.171205,12041.18457
4992.1822,13246.9707
4992.193195,14494.44629
4992.204189,15564.55859
4992.215182,16402.66211
4992.226174,16926.85938
4992.237166,17552.11719
4992.248158,17977.69727
4992.259149,18284.63086
4992.270139,18312.41016
4992.281128,18667.79102
4992.292117,18840.89063
4992.303106,18926.68555
4992.314093,19002.91211
4992.32508,19231.44922
4992.336067,19576.98438
4992.347053,19298.02539
4992.358038,19548.72266
4992.369023,19640.53906
4992.380007,19606.94336
4992.39099,19586.72852
4992.401973,19882.64844
4992.412955,19232.6875
4992.423937,19592.95703
4992.434918,19811.52344
4992.445899,20106.89648
4992.456878,19826.67383
4992.467858,19452.40039
4992.478836,19613.91602
4992.489814,19846.65039
4992.500792,19766.24609
4992.511768,19567.52734
4992.522745,19299.30859
4992.53372,19364.03125
4992.544695,19595.70117
4992.55567,19796.66406
4992.566643,19293.25195
4992.577617,19435.66211
4992.588589,19471.09961
4992.599561,19615.81641
4992.610532,19205.78906
4992.621503,19103.81055
4992.632473,18947.5332
4992.643443,18144.51367
4992.654412,17619.62109
4992.66538,17515.45313
4992.676348,17071.26367
4992.687315,16369.83301
