wv,intens
4991.024399,85711.78824
4991.035457,85835.83623
4991.046515,85959.92628
4991.057572,86084.05824
4991.068629,86208.23193
4991.079685,86332.44715
4991.09074,86456.70372
4991.101795,86581.00145
4991.112849,86705.34011
4991.123902,86829.71951
4991.134955,86954.13942
4991.146007,87078.59962
4991.157059,87203.09987
4991.16811,87327.63993
4991.179161,87452.21955
4991.190211,87576.83848
4991.20126,87701.49645
4991.212308,87826.1932
4991.223357,87950.92845
4991.234404,88075.70193
4991.245451,88200.51334
4991.256497,88325.36241
4991.267543,88450.24882
4991.278587,88575.1723
4991.289632,88700.13253
4991.300676,88825.12922
4991.311719,88950.16206
4991.322761,89075.23076
4991.333803,89200.33501
4991.344844,89325.47451
4991.355885,89450.64898
4991.366925,89575.85813
4991.377965,89701.10168
4991.389004,89826.37936
4991.400042,89951.69091
4991.41108,90077.03609
4991.422117,90202.41468
4991.433153,90327.82646
4991.444189,90453.27123
4991.455224,90578.74882
4991.466259,90704.25906
4991.477293,90829.80183
4991.488326,90955.377
4991.499359,91080.98447
4991.510391,91206.62417
4991.521422,91332.29606
4991.532453,91458.00009
4991.543484,91583.73626
4991.554513,91709.50456
4991.565543,91835.30499
4991.576571,91961.13755
4991.587599,92087.00222
4991.598626,92212.89896
4991.609653,92338.82768
4991.620679,92464.78824
4991.631704,92590.06689
4991.642729,92714.70994
4991.653753,92839.447
4991.664777,92964.27886
4991.6758,93089.20635
4991.686822,93214.23024
4991.697844,93339.93319
4991.708865,93466.26631
4991.719886,93592.63093
4991.730906,93718.47649
4991.741925,93843.85315
4991.752944,93970.3434
4991.763962,94096.86442
4991.77498,94223.41621
4991.785997,94349.9988
4991.797013,94476.61223
4991.808029,94603.25659
4991.819044,94729.932
4991.830058,94856.63857
4991.841072,94983.37645
4991.852085,95110.14575
4991.863098,95236.94659
4991.87411,95363.77904
4991.885122,95490.64308
4991.896132,95616.81319
4991.907143,95743.08231
4991.918152,95869.44963
4991.929161,95995.91471
4991.94017,96122.47745
4991.951177,96249.13795
4991.962185,96375.89646
4991.973191,96502.75332
4991.984197,96629.70892
4991.995202,96756.76366
4992.006207,96883.9179
4992.017211,97011.17199
4992.028215,97138.52618
4992.039218,97266.14453
4992.05022,97393.79597
4992.061222,97521.48106
4992.072223,97649.2004
4992.083223,97776.95453
4992.094223,97904.74396
4992.105223,98032.5691
4992.116221,98160.43021
4992.127219,98288.32738
4992.138217,98416.27782
4992.149214,98544.33157
4992.16021,98672.48815
4992.171205,98800.6637
4992.1822,98928.80811
4992.193195,99057.20781
4992.204189,99185.71155
4992.215182,99314.31982
4992.226174,99443.03301
4992.237166,99571.64884
4992.248158,99700.11687
4992.259149,99828.624
4992.270139,99957.17172
4992.281128,100085.7615
4992.292117,100214.3946
4992.303106,100343.0725
4992.314093,100471.7962
4992.32508,100600.5665
4992.336067,100729.3839
4992.347053,100858.2484
4992.358038,100987.1592
4992.369023,101116.1149
4992.380007,101245.1129
4992.39099,101374.4761
4992.401973,101503.5615
4992.412955,101633.4051
4992.423937,101763.3616
4992.434918,101893.4326
4992.445899,102023.6195
4992.456878,102153.9236
4992.467858,102284.3455
4992.478836,102414.8858
4992.489814,102545.5445
4992.500792,102676.3216
4992.511768,102807.2168
4992.522745,102938.2293
4992.53372,103069.3585
4992.544695,103199.927
4992.55567,103331.2634
4992.566643,103462.7152
