wv,intens
0.96969697,58063.3242
0.977272727,58002.6875
0.984848485,58014.8906
0.992424242,58016.1641
1,58093.6328
1.007575758,58166.8516
1.015151515,58131.8281
1.022727273,58218.2891
1.03030303,58391.2344
1.037878788,58335.6484
1.045454545,58670.3203
1.053030303,58824.9531
1.060606061,58756.4141
1.068181818,58716.2812
1.075757576,58757.1797
1.083333333,58774
1.090909091,58516.6406
1.098484848,58843.6328
1.106060606,58950.082
1.113636364,59175.9922
1.121212121,59016.2578
1.128787879,58976.8047
1.136363636,58940.5703
1.143939394,59125.8281
1.151515152,59244.75
1.159090909,59103.7891
1.166666667,59481.0859
1.174242424,59174.4219
1.181818182,59299.8516
1.189393939,59425.3516
1.196969697,59459.7852
1.204545455,59441.5312
1.212121212,59724.5625
1.21969697,59730.7109
1.227272727,59672.2695
1.234848485,59734.4766
1.242424242,59637.9844
1.25,60043.7539
1.257575758,59992.5547
1.265151515,60005.5
1.272727273,59967.0234
1.28030303,59959.4688
1.287878788,60054.332
1.295454545,59999.8203
1.303030303,60080.6562
1.310606061,60145.2188
1.318181818,60239.5664
1.325757576,60188.9219
1.333333333,60097.6797
1.340909091,60368.375
1.348484848,60282.7188
1.356060606,60498.6484
1.363636364,60584.7266
1.371212121,60468.3516
1.378787879,60575.125
1.386363636,60636.4375
1.393939394,60634.043
1.401515152,60685.2109
1.409090909,60822.1797
1.416666667,60817.2383
1.424242424,60930.8203
1.431818182,61019.9688
1.439393939,60902.6406
1.446969697,60892.7188
1.454545455,61005.5703
1.462121212,61261.2578
1.46969697,61150.8516
1.477272727,61323.4766
1.484848485,61457.4844
1.492424242,61475.2461
1.5,61217.1016
1.507575758,61328.457
1.515151515,61512.2656
1.522727273,61518.3203
1.53030303,61507.8555
1.537878788,61524.3516
1.545454545,61593.0742
1.553030303,61631.375
1.560606061,61690.375
1.568181818,61821.9688
1.575757576,61789.1172
1.583333333,61934.3828
1.590909091,62001.3594
1.598484848,62065.3984
1.606060606,62147.5391
1.613636364,62104.9531
1.621212121,62087.3281
1.628787879,62346.3594
1.636363636,62201.3398
1.643939394,62384.5781
1.651515152,62704.8203
1.659090909,62417.7422
1.666666667,62590.3086
1.674242424,62634.4922
1.681818182,62760.9219
1.689393939,62782.4844
1.696969697,62793.2734
1.704545455,62811.4609
1.712121212,62772.6094
1.71969697,62900.8281
1.727272727,63057.7539
1.734848485,63299.3828
1.742424242,63331.0859
1.75,63291.2188
1.757575758,63277.7969
1.765151515,63282.7461
1.772727273,63267.3984
1.78030303,63498.0117
1.787878788,63416.875
1.795454545,63626.2188
1.803030303,63686.8906
1.810606061,63599.4414
1.818181818,63792.0781
1.825757576,63681.8008
1.833333333,63704.7578
1.840909091,63863.3203
1.848484848,63834.1797
1.856060606,63755.9766
1.863636364,63693.0195
1.871212121,64070.3281
1.878787879,63904.3203
1.886363636,64008.4102
1.893939394,64006.4766
1.901515152,64214.0977
1.909090909,64266.9883
1.916666667,64132.1914
1.924242424,64288.5352
1.931818182,64466.1406
1.939393939,64542.1133
1.946969697,64698.0625
1.954545455,64605.8164
1.962121212,64506.5
1.96969697,64638.1367
1.977272727,64588.6484
1.984848485,64789.4922
1.992424242,64732.7969
2,64944.7461
2.007575758,64993.3672
2.015151515,65052.6406
2.022727273,65181.2969
2.03030303,65238.2344
2.037878788,65183.6406
2.045454545,64908.6875
2.053030303,65313.0547
2.060606061,65432.2891
2.068181818,65505.5156
2.075757576,65634.7812
2.083333333,65606.6719
2.090909091,65550.4375
2.098484848,65873.4688
2.106060606,65901.1016
2.113636364,66001.3359
2.121212121,65942.5
2.128787879,65877.3438
2.136363636,66006.0391
2.143939394,66013.1094
2.151515152,66279.6328
2.159090909,66197.125
2.166666667,66155.4375
2.174242424,66315.5312
2.181818182,66373.6016
2.189393939,66295.1094
2.196969697,66493.1562
2.204545455,66451.375
2.212121212,66533.9219
2.21969697,66482.4375
2.227272727,66633.6484
2.234848485,66605.2578
2.242424242,66713.2344
2.25,66598.3672
2.257575758,66790.7266
2.265151515,66867.3594
2.272727273,67024.75
2.28030303,66807.0312
2.287878788,66898.7734
2.295454545,66856.7344
2.303030303,67051.4609
2.310606061,67012.5938
2.318181818,66878.1562
2.325757576,67319.1406
2.333333333,67467.25
2.340909091,67071.9531
2.348484848,67267.4062
2.356060606,67433.6797
2.363636364,67487.9219
2.371212121,67504.8828
2.378787879,67742.3125
2.386363636,67721.5
2.393939394,67847.5781
2.401515152,67786.1484
2.409090909,67773.3984
2.416666667,67734.4375
2.424242424,67976.375
2.431818182,67958.3125
2.439393939,68195.2812
2.446969697,67872.8359
2.454545455,68253.9219
2.462121212,67962.2344
2.46969697,68128.7344
2.477272727,68258.2031
2.484848485,68153.3125
2.492424242,68478.0156
2.5,68169.6875
2.507575758,68319.5078
2.515151515,68384.4062
2.522727273,68364.0156
2.53030303,68422.4766
2.537878788,68491.8125
2.545454545,68494.0234
2.553030303,68427.0625
2.560606061,68581.9531
2.568181818,68695.2656
2.575757576,68997.2969
2.583333333,68859.8594
2.590909091,68933.5156
2.598484848,69134.0703
2.606060606,68735.9688
2.613636364,68882.0547
2.621212121,69136.6562
2.628787879,69264.0625
2.636363636,69309.5859
2.643939394,69440.8594
2.651515152,69280.8594
2.659090909,69614.5625
2.666666667,69614.6562
2.674242424,69438.7344
2.681818182,69625.75
2.689393939,69822.25
2.696969697,69689.3281
2.704545455,69761.3594
2.712121212,69910.6172
2.71969697,69891.6562
2.727272727,70113.2812
2.734848485,69934.0312
2.742424242,70003.5703
2.75,69879.9531
2.757575758,69865.4766
2.765151515,70109.2656
2.772727273,70097.4219
2.78030303,70108.2969
2.787878788,70142.75
2.795454545,70272.625
2.803030303,70342.9688
2.810606061,70320.3438
2.818181818,70284.3984
2.825757576,70395.4062
2.833333333,70596.2344
2.840909091,70885
2.848484848,70696.3125
2.856060606,70746.4375
2.863636364,70797.2344
2.871212121,70724.8438
2.878787879,70823.9141
2.886363636,70921.3672
2.893939394,70710.2656
2.901515152,70968.8828
2.909090909,70785.4297
2.916666667,70937.0156
2.924242424,71116.8281
2.931818182,70852.1328
2.939393939,71142.125
2.946969697,70853.75
2.954545455,71108.2812
2.962121212,71171.6562
2.96969697,71409.1875
2.977272727,71117.8438
2.984848485,71337.8906
2.992424242,71328.4297
3,71511.375
3.007575758,71453.8281
3.015151515,71652.3828
3.022727273,71812.0938
3.03030303,71432.4766
3.037878788,71717.9453
3.045454545,71836.2812
3.053030303,71671.6875
3.060606061,71772.1875
3.068181818,71886.2188
3.075757576,71795.3281
3.083333333,72100.7969
3.090909091,71799.8281
3.098484848,72044.6953
3.106060606,72095.2812
3.113636364,72221.6953
3.121212121,72286.3828
3.128787879,72134.5156
3.136363636,72107.5312
3.143939394,72351.3438
3.151515152,72125.75
3.159090909,72276.4062
3.166666667,72576.6953
3.174242424,72409.9219
3.181818182,72533.0234
3.189393939,72491.625
3.196969697,72497.8672
3.204545455,72492.6406
3.212121212,72738.5781
3.21969697,72688.8906
3.227272727,72806.7734
3.234848485,72954.8906
3.242424242,72521.9844
3.25,72691.8594
3.257575758,73089.1094
3.265151515,73086.4453
3.272727273,73160.7344
3.28030303,73295.7578
3.287878788,73006.2031
3.295454545,72978.4375
3.303030303,73116.5391
3.310606061,73375.4922
3.318181818,73455.0938
3.325757576,73112.1094
3.333333333,73389.2344
3.340909091,73599.9531
3.348484848,73278
3.356060606,73448.4844
3.363636364,73551.8125
3.371212121,73562.0938
3.378787879,73778.125
3.386363636,73835.8125
3.393939394,73722.9688
3.401515152,73799.5
3.409090909,74125.9453
3.416666667,73834.0938
3.424242424,73866.8906
3.431818182,73986.0156
3.439393939,74119.25
3.446969697,74006.5391
3.454545455,74225.3125
3.462121212,73997.5469
3.46969697,74142.8438
3.477272727,74352.5781
3.484848485,74328.1953
3.492424242,74447.4375
3.5,74496.2188
3.507575758,74359.9141
3.515151515,74456.0391
3.522727273,74712.75
3.53030303,74495.125
3.537878788,74662.9688
3.545454545,74750.1641
3.553030303,74866.0781
3.560606061,74707.75
3.568181818,75077.9297
3.575757576,74711.4375
3.583333333,75056.0078
3.590909091,74876.6328
3.598484848,74858.9453
3.606060606,75164.7969
3.613636364,75314.6875
3.621212121,75306.5312
3.628787879,75213.9375
3.636363636,75369.5234
3.643939394,75536.3203
3.651515152,75436.4141
3.659090909,75233.9844
3.666666667,75596.3281
3.674242424,75328.5938
3.681818182,75589.2969
3.689393939,75504.2188
3.696969697,75568.75
3.704545455,75520.2734
3.712121212,75553.3125
3.71969697,75531.1484
3.727272727,75691.2812
3.734848485,75731.0469
3.742424242,75652.8594
3.75,75726.6797
3.757575758,75957.6172
3.765151515,75829.125
3.772727273,76140.75
3.78030303,75668.4219
3.787878788,76055.2969
3.795454545,76063.9531
3.803030303,76070.7656
3.810606061,75815.875
3.818181818,76112.8125
3.825757576,76095.9453
3.833333333,76203.7969
3.840909091,76412.3125
3.848484848,76177.3906
3.856060606,76293.0156
3.863636364,76136.3281
3.871212121,76168.9688
3.878787879,76519.9531
3.886363636,76831.2812
3.893939394,76592.6875
3.901515152,76742.3125
3.909090909,76535.1719
3.916666667,76792.4453
3.924242424,76943.2812
3.931818182,76811.3906
3.939393939,76639.0156
3.946969697,76800.3125
3.954545455,76896.3906
3.962121212,76871.7031
3.96969697,76985.9453
3.977272727,77014.6016
3.984848485,77139.0156
3.992424242,77046.1406
4,77169.2656
4.007575758,77150.9844
4.015151515,76884.4141
4.022727273,77189.9531
4.03030303,77524.3438
4.037878788,77331.1719
4.045454545,77532.7422
4.053030303,77463.1641
4.060606061,77471.7031
4.068181818,77569.625
4.075757576,77564.8906
4.083333333,77455.9531
4.090909091,77656.4844
4.098484848,77699.1562
4.106060606,77927.7031
4.113636364,77804.2031
4.121212121,77704.0469
4.128787879,77748.6094
4.136363636,77692.9688
4.143939394,77793.5
4.151515152,77756.6719
4.159090909,77994.6406
4.166666667,77825.8594
4.174242424,78295.4062
4.181818182,78225.8125
4.189393939,77955.2969
4.196969697,77990.875
4.204545455,77902.9844
4.212121212,78054.2812
4.21969697,77956.9062
4.227272727,77945.7188
4.234848485,77993.5469
4.242424242,78124.9688
4.25,77830.8125
4.257575758,78089.2188
4.265151515,78386.1406
4.272727273,78367.4688
4.28030303,78367.9766
4.287878788,78582.1875
4.295454545,78641.25
4.303030303,78457.2031
4.310606061,78756.7109
4.318181818,78654.9531
4.325757576,78882.0156
4.333333333,78709.0391
4.340909091,78866.5156
4.348484848,78952.4062
4.356060606,78623.7031
4.363636364,78622.6406
4.371212121,79127.7344
4.378787879,79127.7188
4.386363636,79018.9766
4.393939394,79069.1875
4.401515152,79180.5547
4.409090909,79416.6406
4.416666667,79496.5156
4.424242424,79450.625
4.431818182,79611.8906
4.439393939,79475.3906
4.446969697,79528.1562
4.454545455,79523.3438
4.462121212,79533.8438
4.46969697,79676.5
4.477272727,79923.8906
4.484848485,79960.4688
4.492424242,79957.8281
4.5,80143.7344
4.507575758,80021.9766
4.515151515,80073.3438
4.522727273,80199.8594
4.53030303,80437.7031
4.537878788,80216.2344
4.545454545,80071.3438
4.553030303,80293.1562
4.560606061,80672.5703
4.568181818,80292.5312
4.575757576,80452.8594
4.583333333,80400.5938
4.590909091,80580.5625
4.598484848,80573.1094
4.606060606,80592.3594
4.613636364,80567.3672
4.621212121,80823.25
4.628787879,80945.9688
4.636363636,80640.7812
4.643939394,80580.8125
4.651515152,80737.5938
4.659090909,80635.4062
4.666666667,80830.3125
4.674242424,80894.5703
4.681818182,80740.5625
4.689393939,80791.25
4.696969697,80786.9688
4.704545455,81062.4375
4.712121212,81063.5938
4.71969697,81034.9531
4.727272727,81011.5312
4.734848485,81036.625
4.742424242,81198.2031
4.75,81158.7656
4.757575758,81277.4141
4.765151515,81333.7344
4.772727273,81305.4766
4.78030303,81452.4531
4.787878788,81362.6562
4.795454545,81572.5
4.803030303,81494.6094
4.810606061,81775.6484
4.818181818,81321.8594
4.825757576,81722.2344
4.833333333,81670.7734
4.840909091,81642.3281
4.848484848,81675.875
4.856060606,81703.3359
4.863636364,81737.9531
4.871212121,81761.1406
4.878787879,81746.5859
4.886363636,82149.7812
4.893939394,81971.5469
4.901515152,81816.75
4.909090909,81796.75
4.916666667,81885.9844
4.924242424,82056.4844
4.931818182,81914.125
4.939393939,82208.1094
4.946969697,82279.25
4.954545455,82496.0781
4.962121212,82244.0078
4.96969697,82448.5469
4.977272727,82520.5312
4.984848485,82561.5
4.992424242,82394.2969
5,82617.2344
5.007575758,82303.7344
5.015151515,82427.0781
5.022727273,82442.7734
5.03030303,82614.1406
5.037878788,82622.3359
5.045454545,82580.4375
5.053030303,82719.3984
5.060606061,82531.3594
5.068181818,82704.4844
5.075757576,82616.8828
5.083333333,82848.4844
5.090909091,82864.0312
5.098484848,82897.5
5.106060606,82694.6016
5.113636364,83016.8594
5.121212121,82843.6875
5.128787879,83150.5781
5.136363636,83220.9375
5.143939394,83398.2031
5.151515152,82959.5312
5.159090909,83535.125
5.166666667,83298.7266
5.174242424,83461.5312
5.181818182,83365.3594
5.189393939,83362.7812
5.196969697,83284.0156
5.204545455,83318.1406
5.212121212,83658.2812
5.21969697,83535.2422
